Latitude,Longitude,Crime Description,Count,Hour,Crime Frequency
33.7115,-118.2907,VEHICLE - STOLEN,5,1,2
33.7115,-118.2889,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",5,19,2
33.7115,-118.2885,INTIMATE PARTNER - SIMPLE ASSAULT,1,22,1
33.7115,-118.2879,VIOLATION OF RESTRAINING ORDER,3,15,2
33.7115,-118.2874,BATTERY - SIMPLE ASSAULT,3,22,3
33.7116,-118.2981,BURGLARY,3,9,1
33.7117,-118.3024,VEHICLE - STOLEN,1,19,1
33.7117,-118.3019,ROBBERY,1,22,1
33.7117,-118.2898,INTIMATE PARTNER - SIMPLE ASSAULT,2,0,1
33.7117,-118.2897,VEHICLE - STOLEN,2,6,2
33.7119,-118.299,THEFT OF IDENTITY,2,0,1
33.7122,-118.3,BURGLARY FROM VEHICLE,2,4,1
33.7124,-118.3043,BRANDISH WEAPON,2,15,2
33.7124,-118.2911,INTIMATE PARTNER - SIMPLE ASSAULT,1,15,1
33.7124,-118.2907,DISCHARGE FIREARMS/SHOTS FIRED,1,10,1
33.7124,-118.2889,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),2,20,2
33.7125,-118.3009,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),2,2,1
33.7125,-118.3008,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,0,1
33.7125,-118.2916,"BUNCO, GRAND THEFT",1,12,1
33.7125,-118.2897,VEHICLE - STOLEN,1,0,1
33.7125,-118.2861,THEFT PLAIN - PETTY ($950 & UNDER),1,12,1
33.7126,-118.2926,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1,20,2
33.7128,-118.3052,THEFT OF IDENTITY,1,10,1
33.7129,-118.3019,VEHICLE - STOLEN,1,11,1
33.7129,-118.2916,BATTERY - SIMPLE ASSAULT,1,19,1
33.7129,-118.2872,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,17,1
33.713,-118.3007,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1,15,1
33.7132,-118.3061,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1,19,1
33.7132,-118.3028,VEHICLE - STOLEN,1,7,1
33.7132,-118.2928,ROBBERY,2,3,1
33.7133,-118.3016,BURGLARY,1,16,1
33.7133,-118.2889,CRIMINAL THREATS - NO WEAPON DISPLAYED,5,2,7
33.7133,-118.2872,THEFT OF IDENTITY,1,9,1
33.7133,-118.2861,THEFT OF IDENTITY,2,8,1
33.7134,-118.2974,BURGLARY,1,3,1
33.7134,-118.2919,INTIMATE PARTNER - SIMPLE ASSAULT,1,1,1
